"url","title","subtitle","subheader","text","tag"
"https://forms.uob.com.sg/personal/services/carloans/contact-us.html","UOB Car Loan Support","","UOB Car Loan Support","Welcome to UOB Car Loan support. We are here to help you get on the fast track to your new car.","loans"
"https://forms.uob.com.sg/personal/services/carloans/contact-us.html","UOB Car Loan Support","","UOB Car Loan Support","Get access to our Car Loan calculator tool, or get help on any car loan related enquiries.","loans"
"https://forms.uob.com.sg/personal/services/carloans/contact-us.html","UOB Car Loan Support","","UOB Car Loan Support","Calculate – Find out the interest rate and monthly repayments for your Car Loan with our Car Loan Calculator.","loans"
"https://forms.uob.com.sg/personal/services/carloans/contact-us.html","UOB Car Loan Support","","UOB Car Loan Support","For HP50 loan, please use the HP50 Car Loan Calculator.","loans"
"https://forms.uob.com.sg/personal/services/carloans/contact-us.html","UOB Car Loan Support","","UOB Car Loan Support","How can we help you?","loans"
"https://forms.uob.com.sg/personal/services/carloans/contact-us.html","UOB Car Loan Support","","UOB Car Loan Support","Verify Mobile Number","loans"
"https://forms.uob.com.sg/personal/services/carloans/contact-us.html","UOB Car Loan Support","","UOB Car Loan Support","SMS OTP service is currently unavailable.","loans"
"https://forms.uob.com.sg/personal/services/carloans/contact-us.html","UOB Car Loan Support","","UOB Car Loan Support","Did not receive?","loans"
"https://forms.uob.com.sg/property/apply","I am applying for a UOB Loan.","","I am applying for a UOB Loan.","For Singaporean & PR only Apply for a new UOB Loan with forms pre-filled by retrieving your personal information with Myinfo. Applications submitted between 8.30am to 9pm daily will be processed instantly. Applications received outside these times will be processed the next working day. What you need to know? This loan application is: to finance the purchase of a residential property in Singaporeto finance the purchase of another residential property if you are selling your existing residential property with an outstanding loan.to refinance an existing loan from another financial institution.This loan is not applicable if you have any other existing property loan (including equity term loans). You can add 1 joint applicant in the application.","general"
"https://forms.uob.com.sg/property/apply","I am applying for a UOB Loan.","","I am applying for a UOB Loan.","This loan application is:","general"
"https://forms.uob.com.sg/property/apply","I am applying for a UOB Loan.","","I am applying for a UOB Loan.","to finance the purchase of a residential property in Singapore","general"
"https://forms.uob.com.sg/property/apply","I am applying for a UOB Loan.","","I am applying for a UOB Loan.","to finance the purchase of another residential property if you are selling your existing residential property with an outstanding loan.","general"
"https://forms.uob.com.sg/property/apply","I am applying for a UOB Loan.","","I am applying for a UOB Loan.","to refinance an existing loan from another financial institution.","general"
"https://forms.uob.com.sg/property/apply","I am applying for a UOB Loan.","","I am applying for a UOB Loan.","This loan is not applicable if you have any other existing property loan (including equity term loans).","general"
