url,title,subtitle,subheader,text,tag
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,Why you will love this,"Earn up to 4.65% a year on your first S$100,000 when you credit your salary, save and spend",savings
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,Why you will love this,Earn an additional 3.00% a year when you insure and invest,savings
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,Who can apply,Anyone above 18 years old,savings
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,Who can apply,"Singaporean, Singapore PR or foreigner with a valid pass",savings
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,IMPORTANT NOTICE,"In line with prevailing market conditions, we will revise interest rates for the 360 Account on 1 May 2025.",savings
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,IMPORTANT NOTICE,"Please be assured that we remain committed to delivering long-term value to you: The 360 Account will offer up to 6.30% a year on your first S$100,000 if you credit your salary, spend, save, insure and invest with us.",savings
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,IMPORTANT NOTICE,"For more information, visitocbc.com/notices.",savings
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,How it works,"Credit your salary of at least S$1,800 through GIRO/FAST/PayNow via GIRO/PayNow via FAST",savings
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,How it works,"First S$75,000",savings
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,How it works,"Next S$25,000",savings
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,How it works,EIR1,savings
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,How it works,Increase your average daily balance by at least S$500 monthly.,savings
https://www.ocbc.com/personal-banking/deposits/360-savings-account?pid=Mass:accounts:360Acc:AlwaysOn:Acquisition:Sep:2022:internal:::peb-banner:evergreen:::CFSPersonalise,360 Account,Maximise your interest with 360 Account,How it works,"First S$75,000",savings
